lftUprLipRas,rgtBrwLwr,lftUprLidRas,lftUprLipStr,lftLwrLipStr,lftLwrLidTgt,lftChkRas,lftLwrLidRas,lftCnrDep,rgtNstrlFlr,ID,Group
0.01104,0.0,0.825917,0.449718,0.0,0.0,0.851382,0.849689,0.0,0.0,S1HC11,HC
0.139318,0.0,0.479043,0.367575,0.215632,0.0,0.283794,0.28323,0.327882,0.0,S1HC11,HC
0.730543,0.0,0.0,0.0,0.0,0.627479,0.0,0.0,0.0,0.211859,S1HC11,HC
0.417953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.983646,0.0,S1HC11,HC
0.0,0.0,0.825917,0.653007,0.0,0.0,0.743836,0.849689,0.0,0.0,S1HC11,HC
0.0,0.213449,0.0,0.0,0.0,0.0,0.0,0.0,0.647236,0.909722,S1HC11,HC
0.730543,0.0,0.0,0.0,0.0,0.627479,0.0,0.0,0.0,0.211859,S1HC11,HC
0.730543,0.0,0.0,0.0,0.0,0.849413,0.0,0.0,0.0,0.211859,S1HC11,HC
0.730543,0.0,0.0,0.0,0.0,0.627479,0.0,0.0,0.0,0.211859,S1HC11,HC
0.0,0.0,0.825917,0.449718,0.0,0.0,0.851382,0.849689,0.0,0.0,S1HC11,HC
0.259771,0.0,0.426175,0.29406,0.0431265,0.125496,0.375802,0.396522,0.262306,0.0423719,S1HC11,HC
0.0,0.948511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S1HC11,HC
0.730543,0.0,0.825917,0.0,0.0,0.627479,0.0,0.531205,0.0,0.211859,S1HC11,HC
0.0,0.0,0.426175,0.449718,0.0431265,0.0,0.851382,0.396522,0.262306,0.0,S1HC11,HC
0.730543,0.0,0.426175,0.0,0.715995,0.125496,0.0,0.0,0.262306,0.0423719,S1HC11,HC
0.730543,0.0,0.825917,0.0,0.0,0.627479,0.0,0.531205,0.0,0.211859,S1HC11,HC
0.0,0.948511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.883036,S1HC11,HC
0.365272,0.237128,0.419567,0.11243,0.18978,0.188244,0.212845,0.231932,0.131153,0.284317,S1HC11,HC
0.730543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.883036,S1HC11,HC
0.730543,0.0,0.426175,0.0,0.715995,0.125496,0.0,0.0,0.262306,0.0423719,S1HC11,HC
0.730543,0.0,0.426175,0.0,0.0,0.125496,0.0,0.0,0.262306,0.883036,S1HC11,HC
0.229504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S1HC11,HC
0.730543,0.0,0.426175,0.0,0.715995,0.125496,0.0,0.0,0.262306,0.0423719,S1HC11,HC
0.730543,0.0,0.426175,0.0,0.715995,0.125496,0.0,0.0,0.262306,0.0423719,S1HC11,HC
0.78227,0.0,0.426175,0.0,0.715995,0.0,0.598691,0.0,0.262306,0.883036,S1HC11,HC
0.608786,0.0790426,0.281914,0.0374765,0.301925,0.10458,0.0709485,0.0773106,0.131153,0.403242,S1HC11,HC
0.730543,0.0,0.426175,0.0,0.0,0.0,0.598691,0.0,0.262306,0.883036,S1HC11,HC
0.730543,0.0,0.426175,0.0,0.715995,0.125496,0.0,0.0,0.262306,0.0423719,S1HC11,HC
0.730543,0.0,0.426175,0.0,0.357997,0.125496,0.0,0.0,0.262306,0.462704,S1HC11,HC
0.635365,0.0131738,0.331103,0.00624609,0.408318,0.0801778,0.111607,0.0128851,0.196729,0.375676,S1HC11,HC
0.730543,0.0,0.426175,0.0,0.715995,0.125496,0.0,0.0,0.262306,0.0423719,S1HC11,HC
0.730543,0.0131738,0.426175,0.00624609,0.567052,0.125496,0.111607,0.0128851,0.196729,0.375676,S1HC11,HC
0.730543,0.0,0.426175,0.0,0.715995,0.125496,0.0,0.0,0.262306,0.0423719,S1HC11,HC
0.730543,0.0,0.426175,0.0,0.715995,0.125496,0.0,0.0,0.262306,0.0423719,S1HC11,HC
0.730543,0.0,0.426175,0.0,0.0299065,0.125496,0.0,0.0,0.262306,0.883036,S1HC11,HC
0.730543,0.0,0.426175,0.0,0.357997,0.125496,0.245622,0.0,0.262306,0.462704,S1HC11,HC
0.711507,0.00263475,0.407161,0.00124922,0.439661,0.091333,0.14206,0.00257702,0.24919,0.361232,S1HC11,HC
0.0,0.0,0.0,0.0,0.0,0.414734,0.0,0.0,0.0,0.0,S1HC19,HC
0.0,0.0,0.0,0.781436,0.822297,0.461735,0.0,0.25881,0.0,0.0,S1HC19,HC
0.0,0.0,0.0,0.0,0.0,0.0,0.362315,0.0,0.0,0.0,S1HC19,HC
0.0,0.0,0.0,0.0,0.0,0.573404,0.0,0.635487,0.0,0.0,S1HC19,HC
0.0,0.757315,0.0,0.0,0.0,0.0,0.362315,0.0,0.367153,0.0,S1HC19,HC
0.0,0.650609,0.0,0.0,0.761613,0.0,0.0,0.0,0.0,0.0,S1HC19,HC
0.0,0.757315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S1HC19,HC
0.0,0.757315,0.0,0.0,0.0,0.0,0.362315,0.0,0.367153,0.0,S1HC19,HC
0.0,0.757315,0.0,0.0,0.0,0.0,0.181157,0.0,0.183577,0.0,S1HC19,HC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.181752,0.0,S1HC19,HC
0.0,0.757315,0.0,0.0,0.0,0.0,0.181157,0.0,0.183577,0.0,S1HC19,HC
0.0,0.757315,0.0,0.0,0.0,0.0,0.181157,0.0,0.183577,0.0,S1HC19,HC
0.0,0.757315,0.0,0.0,0.0,0.0,0.181157,0.0,0.183577,0.0,S1HC19,HC
0.0,0.757315,0.0,0.0,0.0,0.0,0.181157,0.0,0.183577,0.0,S1HC19,HC
0.0,0.757315,0.0,0.0,0.0,0.0,0.181157,0.0,0.183577,0.0,S1HC19,HC
0.0,0.757315,0.0,0.0,0.0,0.0,0.181157,0.0,0.183577,0.0,S1HC19,HC
0.0,0.757315,0.0,0.0,0.0,0.0,0.181157,0.0,0.183577,0.0,S1HC19,HC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52321,0.0,S1HC16,HC
0.0571772,0.0,0.0,0.0,0.0,0.976171,0.0,0.0,0.0,0.566822,S1HC16,HC
0.0,0.804743,0.0,0.0,0.0,0.0,0.0,0.0,0.52321,0.566822,S1HC16,HC
0.0,0.804743,0.0,0.0,0.0,0.0,0.0,0.0355074,0.52321,0.566822,S1HC16,HC
0.0,0.804743,0.0,0.0,0.0,0.0,0.0,0.0355074,0.52321,0.566822,S1HC16,HC
0.0,0.804743,0.0,0.0,0.0,0.0,0.0,0.0355074,0.52321,0.566822,S1HC16,HC
0.0,0.804743,0.0,0.233385,0.0,0.0,0.0,0.0355074,0.52321,0.566822,S1HC16,HC
0.0,0.804743,0.0,0.233385,0.0,0.0,0.0,0.0355074,0.52321,0.566822,S1HC16,HC
0.0,0.804743,0.0,0.233385,0.0,0.0,0.0,0.365764,0.52321,0.566822,S1HC16,HC
0.0,0.0,0.964034,0.0,0.0,0.542489,0.0,0.0,0.0,0.273532,S1PT08,PT
0.334515,0.971128,0.795376,0.473667,0.152499,0.0,0.649863,0.942189,0.0,0.0,S1PT08,PT
0.334515,0.971128,0.795376,0.473667,0.152499,0.0,0.649863,0.942189,0.0,0.0,S1PT08,PT
0.167257,0.485564,0.879705,0.236833,0.0762496,0.271245,0.324931,0.471095,0.0,0.136766,S1PT08,PT
0.0,0.971128,0.795376,0.0,0.0,0.542489,0.649863,0.0,0.0,0.0,S1PT08,PT
0.0,0.971128,0.879705,0.236833,0.0,0.271245,0.649863,0.471095,0.0,0.0,S1PT08,PT
0.334515,0.971128,0.795376,0.473667,0.152499,0.0,0.649863,0.942189,0.0,0.0,S1PT08,PT
0.0,0.161482,0.390866,0.0,0.0,0.0,0.952175,0.0,0.0,0.0,S1PT08,PT
0.334515,0.971128,0.795376,0.473667,0.152499,0.0,0.649863,0.942189,0.0,0.0,S1PT08,PT
0.167257,0.809273,0.823486,0.236833,0.0762496,0.271245,0.541552,0.471095,0.0,0.0455887,S1PT08,PT
0.334515,0.971128,0.795376,0.473667,0.152499,0.0,0.649863,0.942189,0.0,0.0,S1PT08,PT
0.167257,0.776828,0.736962,0.2842,0.0762496,0.108498,0.688663,0.565313,0.0,0.00911774,S1PT08,PT
0.167257,0.809273,0.823486,0.236833,0.0762496,0.0,0.541552,0.471095,0.0,0.0455887,S1PT08,PT
0.0,0.971128,0.795376,0.236833,0.105141,0.271245,0.649863,0.471095,0.0,0.0,S1PT08,PT
