Group,ID,TargetEmotion,nGeneration,nSelected
HC,S1HC15,Happy,6,4
HC,S1HC15,Happy,7,5
HC,S1HC15,Happy,8,5
HC,S1HC16,Angry,1,2
HC,S1HC16,Angry,2,1
HC,S1HC16,Angry,3,1
HC,S1HC16,Angry,4,1
HC,S1HC16,Angry,5,1
HC,S1HC16,Angry,6,1
HC,S1HC16,Angry,7,1
HC,S1HC16,Angry,8,1
HC,S1HC16,Fearful,1,2
HC,S1HC16,Fearful,2,1
HC,S1HC16,Fearful,3,1
HC,S1HC16,Fearful,4,1
HC,S1HC16,Fearful,5,1
HC,S1HC16,Fearful,6,1
HC,S1HC16,Fearful,7,1
HC,S1HC16,Fearful,8,1
HC,S1HC16,Happy,1,2
HC,S1HC16,Happy,2,1
HC,S1HC16,Happy,3,1
HC,S1HC16,Happy,4,1
HC,S1HC16,Happy,5,1
HC,S1HC16,Happy,6,1
HC,S1HC16,Happy,7,1
HC,S1HC16,Happy,8,1
HC,S1HC18,Angry,1,3
HC,S1HC18,Angry,2,3
HC,S1HC18,Angry,3,4
HC,S1HC18,Angry,4,4
HC,S1HC18,Angry,5,4
HC,S1HC18,Angry,6,5
HC,S1HC18,Angry,7,5
HC,S1HC18,Angry,8,5
HC,S1HC18,Fearful,1,2
HC,S1HC18,Fearful,2,2
HC,S1HC18,Fearful,3,3
HC,S1HC18,Fearful,4,3
HC,S1HC18,Fearful,5,2
HC,S1HC18,Fearful,6,2
HC,S1HC18,Fearful,7,2
HC,S1HC18,Fearful,8,3
HC,S1HC18,Happy,1,2
HC,S1HC18,Happy,2,2
HC,S1HC18,Happy,3,2
HC,S1HC18,Happy,4,3
HC,S1HC18,Happy,5,2
HC,S1HC18,Happy,6,3
HC,S1HC18,Happy,7,3
HC,S1HC18,Happy,8,3
HC,S1HC19,Angry,1,2
HC,S1HC19,Angry,2,2
HC,S1HC19,Angry,3,2
HC,S1HC19,Angry,4,2
HC,S1HC19,Angry,5,2
HC,S1HC19,Angry,6,2
HC,S1HC19,Angry,7,3
HC,S1HC19,Angry,8,2
HC,S1HC19,Fearful,1,2
HC,S1HC19,Fearful,2,4
HC,S1HC19,Fearful,3,2
HC,S1HC19,Fearful,4,3
HC,S1HC19,Fearful,5,3
HC,S1HC19,Fearful,6,3
HC,S1HC19,Fearful,7,2
HC,S1HC19,Fearful,8,3
HC,S1HC19,Happy,1,2
HC,S1HC19,Happy,2,1
HC,S1HC19,Happy,3,2
HC,S1HC19,Happy,4,2
HC,S1HC19,Happy,5,2
HC,S1HC19,Happy,6,2
HC,S1HC19,Happy,7,3
HC,S1HC19,Happy,8,5
HC,S1HC20,Angry,1,2
HC,S1HC20,Angry,2,3
HC,S1HC20,Angry,3,4
HC,S1HC20,Angry,4,2
HC,S1HC20,Angry,5,2
HC,S1HC20,Angry,6,2
HC,S1HC20,Angry,7,3
HC,S1HC20,Angry,8,3
HC,S1HC20,Fearful,1,2
HC,S1HC20,Fearful,2,3
HC,S1HC20,Fearful,3,3
HC,S1HC20,Fearful,4,2
HC,S1HC20,Fearful,5,2
HC,S1HC20,Fearful,6,2
HC,S1HC20,Fearful,7,2
HC,S1HC20,Fearful,8,2
HC,S1HC20,Happy,1,2
HC,S1HC20,Happy,2,5
HC,S1HC20,Happy,3,4
HC,S1HC20,Happy,4,6
HC,S1HC20,Happy,5,4
HC,S1HC20,Happy,6,5
HC,S1HC20,Happy,7,5
HC,S1HC20,Happy,8,5
HC,S1HC22,Angry,1,3
HC,S1HC22,Angry,2,4
HC,S1HC22,Angry,3,4
HC,S1HC22,Angry,4,5
HC,S1HC22,Angry,5,6
HC,S1HC22,Angry,6,5
HC,S1HC22,Angry,7,7
HC,S1HC22,Angry,8,4
HC,S1HC22,Fearful,1,2
HC,S1HC22,Fearful,2,3
HC,S1HC22,Fearful,3,4
HC,S1HC22,Fearful,4,3
HC,S1HC22,Fearful,5,5
HC,S1HC22,Fearful,6,4
HC,S1HC22,Fearful,7,3
HC,S1HC22,Fearful,8,4
HC,S1HC22,Happy,1,2
HC,S1HC22,Happy,2,3
HC,S1HC22,Happy,3,4
HC,S1HC22,Happy,4,2
HC,S1HC22,Happy,5,5
HC,S1HC22,Happy,6,6
HC,S1HC22,Happy,7,4
HC,S1HC22,Happy,8,6
HC,S1HC23,Angry,1,2
HC,S1HC23,Angry,2,5
HC,S1HC23,Angry,3,5
HC,S1HC23,Angry,4,5
HC,S1HC23,Angry,5,5
HC,S1HC23,Angry,6,5
HC,S1HC23,Angry,7,6
HC,S1HC23,Angry,8,6
HC,S1HC23,Fearful,1,2
HC,S1HC23,Fearful,2,3
HC,S1HC23,Fearful,3,6
HC,S1HC23,Fearful,4,6
HC,S1HC23,Fearful,5,5
HC,S1HC23,Fearful,6,5
HC,S1HC23,Fearful,7,5
HC,S1HC23,Fearful,8,6
HC,S1HC23,Happy,1,3
HC,S1HC23,Happy,2,6
HC,S1HC23,Happy,3,5
HC,S1HC23,Happy,4,4
HC,S1HC23,Happy,5,5
HC,S1HC23,Happy,6,6
HC,S1HC23,Happy,7,4
HC,S1HC23,Happy,8,4
HC,S1HC24,Angry,1,2
HC,S1HC24,Angry,2,4
HC,S1HC24,Angry,3,3
HC,S1HC24,Angry,4,4
HC,S1HC24,Angry,5,4
HC,S1HC24,Angry,6,5
HC,S1HC24,Angry,7,6
HC,S1HC24,Angry,8,6
HC,S1HC24,Fearful,1,3
HC,S1HC24,Fearful,2,3
HC,S1HC24,Fearful,3,3
HC,S1HC24,Fearful,4,3
HC,S1HC24,Fearful,5,3
HC,S1HC24,Fearful,6,4
HC,S1HC24,Fearful,7,3
HC,S1HC24,Fearful,8,6
HC,S1HC24,Happy,1,2
HC,S1HC24,Happy,2,2
HC,S1HC24,Happy,3,3
HC,S1HC24,Happy,4,2
HC,S1HC24,Happy,5,5
HC,S1HC24,Happy,6,4
HC,S1HC24,Happy,7,4
HC,S1HC24,Happy,8,6
HC,S1HC26,Angry,1,2
HC,S1HC26,Angry,2,2
HC,S1HC26,Angry,3,5
HC,S1HC26,Angry,4,5
HC,S1HC26,Angry,5,5
HC,S1HC26,Angry,6,5
HC,S1HC26,Angry,7,5
HC,S1HC26,Angry,8,6
HC,S1HC26,Fearful,1,3
HC,S1HC26,Fearful,2,4
HC,S1HC26,Fearful,3,4
HC,S1HC26,Fearful,4,5
HC,S1HC26,Fearful,5,5
HC,S1HC26,Fearful,6,7
HC,S1HC26,Fearful,7,5
HC,S1HC26,Fearful,8,5
HC,S1HC26,Happy,1,2
HC,S1HC26,Happy,2,1
HC,S1HC26,Happy,3,5
HC,S1HC26,Happy,4,4
HC,S1HC26,Happy,5,5
HC,S1HC26,Happy,6,5
HC,S1HC26,Happy,7,3
HC,S1HC26,Happy,8,6
HC,S1HC27,Angry,1,2
HC,S1HC27,Angry,2,4
HC,S1HC27,Angry,3,4
HC,S1HC27,Angry,4,3
HC,S1HC27,Angry,5,6
HC,S1HC27,Angry,6,4
HC,S1HC27,Angry,7,5
HC,S1HC27,Angry,8,7
HC,S1HC27,Fearful,1,2
HC,S1HC27,Fearful,2,5
HC,S1HC27,Fearful,3,5
HC,S1HC27,Fearful,4,4
HC,S1HC27,Fearful,5,5
HC,S1HC27,Fearful,6,6
HC,S1HC27,Fearful,7,4
HC,S1HC27,Fearful,8,6
HC,S1HC27,Happy,1,2
HC,S1HC27,Happy,2,5
HC,S1HC27,Happy,3,4
HC,S1HC27,Happy,4,5
HC,S1HC27,Happy,5,5
HC,S1HC27,Happy,6,4
HC,S1HC27,Happy,7,3
HC,S1HC27,Happy,8,6
HC,S1HC29,Angry,1,2
HC,S1HC29,Angry,2,6
HC,S1HC29,Angry,3,2
HC,S1HC29,Angry,4,3
HC,S1HC29,Angry,5,2
HC,S1HC29,Angry,6,2
HC,S1HC29,Angry,7,7
HC,S1HC29,Angry,8,3
HC,S1HC29,Fearful,1,2
HC,S1HC29,Fearful,2,2
HC,S1HC29,Fearful,3,5
HC,S1HC29,Fearful,4,5
HC,S1HC29,Fearful,5,3
HC,S1HC29,Fearful,6,5
HC,S1HC29,Fearful,7,6
HC,S1HC29,Fearful,8,5
HC,S1HC29,Happy,1,2
HC,S1HC29,Happy,2,2
HC,S1HC29,Happy,3,4
HC,S1HC29,Happy,4,1
HC,S1HC29,Happy,5,4
HC,S1HC29,Happy,6,2
HC,S1HC29,Happy,7,4
HC,S1HC29,Happy,8,4
PT,S1PT01,Angry,1,2
PT,S1PT01,Angry,2,5
PT,S1PT01,Angry,3,6
PT,S1PT01,Angry,4,5
PT,S1PT01,Angry,5,5
PT,S1PT01,Angry,6,4
PT,S1PT01,Angry,7,4
PT,S1PT01,Angry,8,4
PT,S1PT01,Fearful,1,2
PT,S1PT01,Fearful,2,4
PT,S1PT01,Fearful,3,4
PT,S1PT01,Fearful,4,4
PT,S1PT01,Fearful,5,7
PT,S1PT01,Fearful,6,4
PT,S1PT01,Fearful,7,7
PT,S1PT01,Fearful,8,6
PT,S1PT01,Happy,1,4
PT,S1PT01,Happy,2,5
