ID,TargetEmotion,nGeneration,selected_elite_cosdist,selected_elite_cosdist,selected_cen_cosdist,selected_cen_cosdist,selected_elite_cosdist_bs,selected_elite_cosdist_bs,selected_cen_cosdist_bs,selected_cen_cosdist_bs,nonselected_elite_cosdist,nonselected_elite_cosdist,nonselected_cen_cosdist,nonselected_cen_cosdist,nonselected_elite_cosdist_bs,nonselected_elite_cosdist_bs,nonselected_cen_cosdist_bs,nonselected_cen_cosdist_bs
,,,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count
S1HC04,Happy,7,0.17416302260120506,6,0.1508357492038249,6,0.19502208513660957,6,0.15160475919453595,6,0.7857188641611447,4,0.3582606762618401,4,0.6964156979260067,4,0.37689730393904813,4
S1HC04,Happy,8,0.11903451583795828,5,0.07106864643312168,5,0.15578290860537683,5,0.10347387234537234,5,0.8158097740257585,5,0.5928403602517648,5,0.688145220111241,5,0.4397803296131924,5
S1HC05,Angry,1,0.9277892723707382,3,0.4648492959352876,3,0.7928856969106649,3,0.30996702658335157,3,1.1852562584785817,7,0.5552402519593816,7,0.9079470813569813,7,0.5086934015438612,7
S1HC05,Angry,2,0.5617985670060057,4,0.43350293429266584,4,0.6084991323226958,4,0.38109875584069247,4,1.068386791021689,6,0.3170666917635942,6,0.8602915172982445,6,0.2734312026711498,6
S1HC05,Angry,3,0.20008881658274508,2,0.1187545280438781,2,0.29337688239569804,2,0.14819298889311816,2,0.7080795320218122,8,0.5212275247083961,8,0.6396699905728425,8,0.4428562908514491,8
S1HC05,Angry,4,0.3469255837890173,3,0.26266018800910024,3,0.40422903195563037,3,0.2429929764452733,3,0.5818309029748617,7,0.5253473358926216,7,0.59585294543531,7,0.41090408367758297,7
S1HC05,Angry,5,0.12096391397730374,5,0.07338011020785647,5,0.20207002225087317,5,0.12576867492295102,5,0.8742417944770047,5,0.45592922322905227,5,0.771855796276637,5,0.4499353169307184,5
S1HC05,Angry,6,0.08503715980203634,5,0.06553297933229021,5,0.1217548518252547,5,0.07872921854746451,5,0.7890209337678067,5,0.5247421931865562,5,0.6640519504816229,5,0.36226528126052804,5
S1HC05,Angry,7,0.08142038989435774,6,0.06571484521660216,6,0.11564925931169702,6,0.08039198354704158,6,1.1008242791976226,4,0.7310658478066401,4,0.8662609236083576,4,0.5009243957092779,4
S1HC05,Angry,8,0.03407387462828343,6,0.029294289721146432,6,0.054465634479197333,6,0.04814811282230611,6,1.1056167776146237,4,0.47225761375627473,4,0.9131567674224976,4,0.44078143044631246,4
S1HC05,Fearful,1,0.6392359892742593,3,0.29726648529616984,3,0.5037421408189858,3,0.32704467511661556,3,0.9143780346302693,7,0.5937873465557885,7,0.7958153735454332,7,0.5765650563081497,7
S1HC05,Fearful,2,0.6171176898526516,2,0.22988000999516361,2,0.5476584768197207,2,0.1813631666208982,2,0.8071427568913914,8,0.4854320988375933,8,0.6196821338883466,8,0.42238361518967127,8
S1HC05,Fearful,3,0.6825178371309322,5,0.24495537471451315,5,0.5788671880361538,5,0.20658048509983096,5,1.0401112402036312,5,0.5315575705666251,5,0.7913445039560358,5,0.4671735978209629,5
S1HC05,Fearful,4,0.49454403891772936,3,0.30113283321323275,3,0.49157044527724686,3,0.25181199869586973,3,0.9234929647514941,7,0.5598315686361399,7,0.6946466153689187,7,0.4392498073883376,7
S1HC05,Fearful,5,0.3794566582086265,6,0.20657560417236157,6,0.4167873330851663,6,0.16001299335278715,6,0.991999200261584,4,0.5809414089411139,4,0.7970915728902037,4,0.4624504377066092,4
S1HC05,Fearful,6,0.2275901423478869,3,0.11350376719764288,3,0.26738165592697877,3,0.10763965853274597,3,0.7624367033641856,7,0.5315758537409614,7,0.5705992408178553,7,0.371792096703928,7
S1HC05,Fearful,7,0.17731181419066022,3,0.01871892694374751,3,0.213727554191853,3,0.02007590961307811,3,0.7560490504938497,7,0.5502644367454493,7,0.6804737021726686,7,0.43171341816480624,7
